Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
KCNQ3	Moderate (score=11.1)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Epilepsy GCEP, 08/01/2023] 

Moderate: Self-limited familial neonatal epilepsy (autosomal dominant) [Epilepsy GCEP, 08/01/2023] 

Limited: Developmental and epileptic encephalopathy (autosomal recessive) [Epilepsy GCEP, 08/01/2023]"	Discordant	NA
NRXN3	Moderate (score=11.1)	Score 1	NA	Discordant	NA
SON	Moderate (score=11)	Score 1S	"Definitive: ZTTK syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/24/2023]"	Discordant	Yes
TBR1	Moderate (score=10.85)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/25/2020]"	Discordant	Yes
ANK2	Moderate (score=10.8)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 12/15/2020]

Disputed: Brugada syndrome (autosomal dominant) [Brugada Syndrome GCEP, 11/21/2017]

Disputed: Long QT syndrome (autosomal dominant) [Long QT Syndrome GCEP, 12/15/2020]

Disputed: Catecholaminergic polymorphic ventricular tachycardia (autosomal dominant) [Catecholaminergic Polymorphic Ventricular Tachycardia GCEP, 01/20/2021]"	Discordant	Yes
ZNF462	Moderate (score=10.6)	Score 1S	"Definitive: Weiss-Kruszka syndrome (autosomal dominant) [Syndromic Disorders GCEP, 08/25/2020]"	Discordant	Yes
CTCF	Moderate (score=10.45)	Score 1S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/21/2021]"	Discordant	Yes
DDX53	Moderate (score=10.2)	Score 2	NA	Concordant	NA
SMARCC2	Moderate (score=10)	Score 1S	"Definitive: Coffin-Siris syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/02/2022]"	Discordant	Yes
MEF2C	Moderate (score=9.85)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/06/2019]"	Discordant	Yes
EBF3	Moderate (score=9.75)	Score 1S	"Definitive: Hypotonia, ataxia, and delayed development syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 05/16/2023]"	Discordant	Yes
PHF3	Moderate (score=9.75)	Score 1	NA	Discordant	NA
